kl_host,kl_first_seen,kl_popularity,kl_threat
businessnames10.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames9.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames8.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames7.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames6.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames100.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames85.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames84.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames82.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames83.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
samurmakina.com.tr,23.08.2018 13:37,2,CnC.Win32.Generic
businessnames80.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames79.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames72.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames73.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames71.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames70.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames68.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames69.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames62.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames60.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames61.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames56.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames50.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames51.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames41.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames40.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
nononono.ddns.net,10.10.2017 17:55,2,Trojan-Spy.MSIL.Downeks
businessnames37.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames22.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames21.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames99.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames98.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames97.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames95.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames96.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames93.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames94.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames88.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames92.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames89.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames87.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
