kl_ip,kl_threat_score,kl_category,kl_first_seen,kl_popularity
5.172.232.157,74,spam,20.06.2016 06:40,2
14.166.218.13,74,spam,29.09.2019 18:20,2
14.163.54.33,74,spam,10.06.2016 03:00,2
14.169.171.22,74,spam,22.09.2019 08:20,2
5.55.227.231,74,spam,28.03.2020 14:00,2
2.133.88.157,74,spam,30.03.2020 09:50,2
5.89.116.27,74,spam,26.03.2020 17:50,2
14.166.118.149,74,spam,28.03.2020 06:10,2
14.41.127.231,74,spam,08.02.2020 18:00,2
5.174.12.146,74,spam,28.03.2020 01:50,2
5.137.252.200,74,spam,15.03.2020 06:10,2
5.225.251.17,74,spam,29.03.2020 02:00,2
2.132.235.252,74,spam,23.05.2016 18:20,2
5.54.104.3,74,spam,28.03.2020 01:50,2
14.166.100.190,74,spam,26.01.2020 10:00,2
2.134.188.173,74,spam,21.03.2020 14:00,2
5.90.137.203,74,spam,28.03.2020 10:00,2
5.89.225.167,74,spam,28.03.2020 01:50,2
2.35.224.214,74,spam,03.03.2020 22:10,2
5.89.224.23,74,spam,25.03.2020 22:10,2
5.204.81.136,74,spam,19.03.2020 14:00,2
5.29.211.136,74,spam,15.03.2020 13:50,2
5.109.195.138,74,spam,24.03.2020 02:00,2
14.163.76.76,74,spam,20.03.2020 14:00,2
3.122.228.86,74,spam,25.03.2020 02:10,2
2.82.115.156,74,spam,10.09.2019 14:10,2
5.141.47.5,74,spam,19.03.2020 14:00,2
2.89.77.20,74,spam,22.03.2020 02:00,2
5.18.158.227,74,spam,23.02.2020 21:50,2
14.165.164.85,74,spam,20.03.2020 22:00,2
14.98.44.102,74,spam,19.02.2020 13:50,2
5.44.46.78,74,spam,23.01.2020 21:50,2
2.88.158.47,74,spam,19.03.2020 09:50,2
2.45.212.79,74,spam,16.03.2020 22:00,2
1.23.85.17,74,spam,20.03.2020 22:00,2
2.44.221.175,74,spam,08.03.2020 14:10,2
5.32.78.6,74,spam,02.04.2019 13:40,2
14.98.225.122,74,spam,04.03.2020 02:00,2
5.18.204.60,74,spam,25.07.2017 10:40,2
12.110.223.26,74,spam,08.09.2019 02:20,2
5.204.106.108,74,spam,14.03.2020 21:50,2
14.139.82.105,74,spam,26.05.2016 14:20,2
1.54.212.185,74,spam,09.02.2017 19:10,1
1.54.5.147,74,spam,16.08.2019 18:20,1
1.160.167.50,74,spam,08.10.2018 23:40,1
1.54.213.168,74,spam,16.12.2016 08:00,1
1.52.96.85,74,spam,29.07.2016 06:30,1
1.55.108.167,74,spam,11.09.2016 14:30,1
1.55.117.69,74,spam,25.03.2020 17:50,1
1.162.101.55,74,spam,08.02.2020 02:00,1
1.162.109.178,74,spam,11.11.2019 10:00,1
1.53.200.174,74,spam,15.02.2020 14:10,1
1.52.164.21,74,spam,19.02.2020 13:50,1
1.55.109.125,74,spam,13.10.2016 02:40,1
1.38.84.21,74,spam,07.03.2020 02:20,1
1.53.205.83,74,spam,28.02.2020 22:30,1
1.85.36.90,74,spam,18.10.2016 10:30,1
1.55.104.104,74,spam,05.04.2020 05:50,1
1.52.108.97,74,spam,03.03.2020 01:50,1
1.53.216.201,74,spam,01.11.2017 19:10,1
1.52.55.150,74,spam,10.12.2019 18:00,1
1.54.205.98,74,spam,25.07.2019 06:20,1
1.53.5.227,74,spam,03.04.2020 10:00,1
1.53.3.193,74,spam,15.03.2020 13:50,1
1.52.163.167,74,spam,01.04.2020 17:50,1
1.53.88.146,74,spam,25.10.2019 14:20,1
1.52.108.131,74,spam,18.08.2016 15:10,1
1.55.199.31,74,spam,01.08.2016 16:00,1
1.162.107.112,74,spam,15.01.2020 10:00,1
1.163.27.45,74,spam,15.01.2020 02:10,1
1.53.114.168,74,spam,26.10.2019 10:20,1
1.33.175.12,74,spam,10.04.2020 06:00,1
1.52.6.71,74,spam,28.03.2020 06:10,1
1.38.48.29,74,spam,20.12.2019 13:50,1
1.47.169.214,74,spam,12.05.2019 13:40,1
1.52.109.49,74,spam,29.12.2019 09:50,1
1.47.205.228,74,spam,08.06.2018 01:40,1
1.52.37.86,74,spam,01.01.2017 06:40,1
1.53.211.152,74,spam,11.03.2020 02:00,1
1.55.194.135,74,spam,02.07.2016 11:10,1
1.55.108.139,74,spam,14.09.2016 08:30,1
1.55.167.65,74,spam,03.11.2019 10:00,1
1.52.195.21,74,spam,24.05.2016 14:20,1
1.53.36.159,74,spam,23.03.2020 06:00,1
1.52.39.154,74,spam,24.06.2017 18:40,1
1.160.163.169,74,spam,19.11.2019 02:10,1
1.52.126.5,74,spam,04.12.2016 02:40,1
1.54.195.61,74,spam,13.08.2016 15:00,1
1.52.108.154,74,spam,29.12.2019 18:00,1
1.46.165.97,74,spam,20.06.2019 06:20,1
1.23.195.184,74,spam,26.10.2019 14:10,1
1.160.30.16,74,spam,01.04.2020 05:50,1
1.54.209.169,74,spam,12.11.2016 02:40,1
1.55.52.234,74,spam,29.03.2020 14:00,1
1.164.175.105,74,spam,23.12.2019 02:00,1
1.162.164.219,74,spam,30.11.2019 05:50,1
1.55.167.203,74,spam,21.08.2016 06:30,1
1.162.108.156,74,spam,16.01.2020 05:50,1
1.161.95.50,74,spam,05.02.2019 13:50,1
1.52.102.178,74,spam,13.08.2019 14:20,1
1.47.141.176,74,spam,19.03.2019 01:40,1
